As of 31/12/2016,As of 31/12/2017,As of 31/12/2018,As of 31/12/2019,As of 31/12/2020,As of 31/12/2021,As of 31/12/2022
EBAY,DLTR,DRI,DRE,DRI,DPZ,DRI
ECL,DOV,DTE,DRI,DTE,DRE,DTE
ED,DRE,DUK,DTE,DUK,DRI,DUK
EFX,DRI,DVA,DUK,DVA,DTE,DVA
EIX,DTE,DVN,DVA,DVN,DUK,DVN
EL,DUK,DXC,DVN,DXC,DVA,DXC
ELV,DVA,EA,DXC,DXCM,DVN,DXCM
EMN,DVN,EBAY,EA,EA,DXC,EA
EMR,DXC,ECL,EBAY,EBAY,DXCM,EBAY
ENDPQ,EA,ED,ECL,ECL,EA,ECL
EOG,EBAY,EFX,ED,ED,EBAY,ED
EQIX,ECL,EG,EFX,EFX,ECL,EFX
EQR,ED,EIX,EG,EG,ED,EG
EQT,EFX,EL,EIX,EIX,EFX,EIX
ES,EG,ELV,EL,EL,EG,EL
ESRX,EIX,EMN,ELV,ELV,EIX,ELV
ESS,EL,EMR,EMN,EMN,EL,EMN
ETFC,ELV,EOG,EMR,EMR,ELV,EMR
ETN,EMN,EQIX,EOG,EOG,EMN,ENPH
ETR,EMR,EQR,EQIX,EQIX,EMR,EOG
EVHC,EOG,ES,EQR,EQR,ENPH,EPAM
EW,EQIX,ESS,ES,ES,EOG,EQIX
EXC,EQR,ETFC,ESS,ESS,EPAM,EQR
EXPD,EQT,ETN,ETFC,ETN,EQIX,EQT
EXPE,ES,ETR,ETN,ETR,EQR,ES
EXR,ESRX,EVRG,ETR,ETSY,ES,ESS
F,ESS,EW,EVRG,EVRG,ESS,ETN
FAST,ETFC,EXC,EW,EW,ETN,ETR
FBIN,ETN,EXPD,EXC,EXC,ETR,ETSY
FCX,ETR,EXPE,EXPD,EXPD,ETSY,EVRG
FDX,EVHC,EXR,EXPE,EXPE,EVRG,EW
FE,EW,F,EXR,EXR,EW,EXC
FFIV,EXC,FANG,F,F,EXC,EXPD
FI,EXPD,FAST,FANG,FANG,EXPD,EXPE
FIS,EXPE,FBIN,FAST,FAST,EXPE,EXR
FITB,EXR,FCX,FBIN,FBIN,EXR,F
FL,F,FDX,FCX,FCX,F,FANG
FLIR,FAST,FE,FDX,FDX,FANG,FAST
FLR,FBIN,FFIV,FE,FE,FAST,FCX
FLS,FCX,FI,FFIV,FFIV,FBIN,FDS
FMC,FDX,FIS,FI,FI,FCX,FDX
FRT,FE,FITB,FIS,FIS,FDS,FE
FSLR,FFIV,FL,FITB,FITB,FDX,FFIV
FTI,FI,FLIR,FLIR,FLIR,FE,FI
FTRCQ,FIS,FLR,FLS,FLS,FFIV,FIS
FTV,FITB,FLS,FLT,FLT,FI,FITB
GD,FL,FLT,FMC,FMC,FIS,FLT
GE,FLIR,FMC,FOX,FOX,FITB,FMC
GEN,FLR,FRT,FOXA,FOXA,FLT,FOX
GGP,FLS,FTI,FRCB,FRCB,FMC,FOXA
GILD,FMC,FTNT,FRT,FRT,FOX,FRCB
GIS,FRT,FTV,FTI,FTI,FOXA,FRT
